Discussion_ID,Comment_ID,Author,Category,Markup_Body,Body,Created At,Last Edited At
D_kwDOJA-LVs4AUl2l,DC_kwDOJA-LVs4AYlL6,salma-ahmed9,Announcements,"- Finished Assignment 8
### **To be Done**

- Review in assignments 5 ,6 and 7 
- meet with my teammate to discuss and edit problem statement of the project","Finished Assignment 8

To be Done

Review in assignments 5 ,6 and 7
meet with my teammate to discuss and edit problem statement of the project",2023-07-13T22:11:31Z,
D_kwDOJA-LVs4AUl2l,DC_kwDOJA-LVs4AYlPy,alaaelsanteel,Announcements,* still with assignment 5,still with assignment 5,2023-07-13T23:12:36Z,
D_kwDOJA-LVs4AUl2l,DC_kwDOJA-LVs4AYlb5,Rofaydaaa,Announcements,"- Done with assignment 5
- Start in assignment 6, read about Model Binding","Done with assignment 5
Start in assignment 6, read about Model Binding",2023-07-14T01:52:36Z,
D_kwDOJA-LVs4AUl2l,DC_kwDOJA-LVs4AYmgy,SandraHany,Announcements,"- Finished assignment 6 
- Finished assignment 7","Finished assignment 6
Finished assignment 7",2023-07-14T12:01:41Z,2023-07-14T12:02:01Z
D_kwDOJA-LVs4AUl2l,DC_kwDOJA-LVs4AYmkz,MariamEssam553,Announcements,- Almost done with assignment 5,Almost done with assignment 5,2023-07-14T12:37:00Z,
D_kwDOJA-LVs4AUl2l,DC_kwDOJA-LVs4AYnZ3,yasmin-hashem24,Announcements,"# Thursday 2023/07/13

## Done 👍 :

- fixed assignment 5 editions
- did assignment 6 
- learned more about cookies 
## ToBeDone 👎 :
- assignment 7 & 8
- project reviewing
","Thursday 2023/07/13
Done 👍 :

fixed assignment 5 editions
did assignment 6
learned more about cookies

ToBeDone 👎 :

assignment 7 & 8
project reviewing",2023-07-14T19:38:35Z,
D_kwDOJA-LVs4AUjBO,,dodyg,Assignments,"- Implement a favorite feed feature. Allow user to star an RSS feed. Keep the information in a cookie.
- User should be able to star and unstar a feed. 
- Add another screen that only show posts from the user favorite RSS feeds.
- Expand on your assignment 4 code base

Deadline: July 11 2023","Implement a favorite feed feature. Allow user to star an RSS feed. Keep the information in a cookie.
User should be able to star and unstar a feed.
Add another screen that only show posts from the user favorite RSS feeds.
Expand on your assignment 4 code base

Deadline: July 11 2023",2023-07-10T06:36:38Z,2023-07-10T06:58:29Z
D_kwDOJA-LVs4AUjBO,DC_kwDOJA-LVs4AYaqJ,salma-ahmed9,Assignments,when is the deadline of the assignment?,when is the deadline of the assignment?,2023-07-10T06:46:13Z,2023-07-10T06:46:23Z
D_kwDOJA-LVs4AUjBO,DC_kwDOJA-LVs4AYeHh,yehiatarek63,Assignments,"[Repo Link](https://github.com/yehiatarek63/XMLPagination)
Screenshots:
![image](https://github.com/silverkeytech/summer-2023/assets/94568731/a75e05c0-c4ac-4603-988a-b8f800792f67)
![image](https://github.com/silverkeytech/summer-2023/assets/94568731/69afc6fe-abe6-4ca0-9248-d625ef060d82)
","Repo Link
Screenshots:",2023-07-11T10:34:46Z,
D_kwDOJA-LVs4AUjBO,DC_kwDOJA-LVs4AYeOD,MillaniaSameh,Assignments,"[repo](https://github.com/MillaniaSameh/SliverKey-Technologies-Internship/tree/main/Assignment%205%20-%20Implement%20favourite%20feeds%20feature%20using%20cookie/XmlWithFavoriteFeeds)

### Screenshots 
![1](https://github.com/silverkeytech/summer-2023/assets/76593662/8a32b1fb-ce81-44fd-a0ee-61f9e05ba275)
![2](https://github.com/silverkeytech/summer-2023/assets/76593662/1dd98818-d698-45ce-8f14-dedac6011a3c)
![3](https://github.com/silverkeytech/summer-2023/assets/76593662/5300bdae-bbc8-46a8-945e-f23ed149b5ce)

### Things to fix
- Refactor the code (re-usable components).
- Just update the html without redirecting. 
","repo
Screenshots



Things to fix

Refactor the code (re-usable components).
Just update the html without redirecting.",2023-07-11T11:18:23Z,
D_kwDOJA-LVs4AUjBO,DC_kwDOJA-LVs4AYhA3,SandraHany,Assignments,"[Repo ](https://github.com/SandraHany/Cookies-DotNet/tree/main)

![cookies 1](https://github.com/silverkeytech/summer-2023/assets/67375539/a792ffe1-ac03-43a6-81d1-7afd31202762)

![cookies 2](https://github.com/silverkeytech/summer-2023/assets/67375539/ebbaf432-3ee6-417a-be77-91e04a428894)

Duplicates to be fixed .","Repo 


Duplicates to be fixed .",2023-07-12T11:59:47Z,2023-07-12T14:03:49Z
D_kwDOJA-LVs4AUjBO,DC_kwDOJA-LVs4AYhW0,salma-ahmed9,Assignments,"Here is the link to my [Repo](https://github.com/salma-ahmed9/BookmarkFeeds.git)
### **Homescreen (orange means starred )**
![sora](https://github.com/silverkeytech/summer-2023/assets/93517375/07683479-24f1-453d-835c-e3feeea48736)
### **Favourites screen**
![sora](https://github.com/silverkeytech/summer-2023/assets/93517375/78c6fd15-0d51-49a0-88fc-6faf50573911)
### **Unstar a feed from Favourites screen (for example : Dictionary.com)**
![sora](https://github.com/silverkeytech/summer-2023/assets/93517375/47ea099c-2596-4031-8364-3545a2dfd22c)
### **Now the Homescreen enables Dictionary.com feed to be starred again**
![sora](https://github.com/silverkeytech/summer-2023/assets/93517375/0611586c-d200-425e-a2a5-a3e97c16033e)

","Here is the link to my Repo
Homescreen (orange means starred )

Favourites screen

Unstar a feed from Favourites screen (for example : Dictionary.com)

Now the Homescreen enables Dictionary.com feed to be starred again",2023-07-12T14:26:36Z,
D_kwDOJA-LVs4AUjBO,DC_kwDOJA-LVs4AYhZt,YoussefDarwishh,Assignments,"[Repo](https://github.com/YoussefDarwishh/RenderOPML)

![image](https://github.com/silverkeytech/summer-2023/assets/110547843/015a43e6-846f-4735-8057-8d1bae35a364)
![image](https://github.com/silverkeytech/summer-2023/assets/110547843/a7602237-3c89-487b-83da-f9cc8ca3695a)

I think there could be a few things I could fix (from other comments) and I'll update them today at night.","Repo


I think there could be a few things I could fix (from other comments) and I'll update them today at night.",2023-07-12T14:43:28Z,
D_kwDOJA-LVs4AUjBO,DC_kwDOJA-LVs4AYhqF,nourhanhelmy1,Assignments,"[Repo Link](https://github.com/nourhanhelmy1/RSSRenderingCookies-Assignment5.git)

## Screenshots
<img width=""960"" alt=""Screenshot 2023-07-12 183710"" src=""https://github.com/silverkeytech/summer-2023/assets/117583711/a78010e3-9c14-4340-93e8-40e7e112c404"">
<img width=""960"" alt=""Screenshot 2023-07-12 183737"" src=""https://github.com/silverkeytech/summer-2023/assets/117583711/9c96ad5f-0696-444a-b4f1-0c2a2019069b"">
<img width=""960"" alt=""Screenshot 2023-07-12 184050"" src=""https://github.com/silverkeytech/summer-2023/assets/117583711/e15efa38-209c-4640-a89b-684c25484df0"">

","Repo Link
Screenshots",2023-07-12T16:06:15Z,
D_kwDOJA-LVs4AUjBO,DC_kwDOJA-LVs4AYijf,yasmin-hashem24,Assignments,"- RepoLink : https://github.com/yasmin-hashem24/silverKey/tree/main/DealingWithCookies
- Screenshots : 
![Screenshot (1000)](https://github.com/silverkeytech/summer-2023/assets/84807559/deeedb93-eeed-443c-b097-b0dfe35b6e7d)
![Screenshot (999)](https://github.com/silverkeytech/summer-2023/assets/84807559/fa3c4f18-18cd-4a8f-abee-2fca0e82f24f)


","RepoLink : https://github.com/yasmin-hashem24/silverKey/tree/main/DealingWithCookies
Screenshots :",2023-07-13T01:50:59Z,
D_kwDOJA-LVs4AUjBO,DC_kwDOJA-LVs4AYlOz,Rofaydaaa,Assignments,"Here is my [repo](https://github.com/Rofaydaaa/OPML-Read-Render/tree/master)


https://github.com/silverkeytech/summer-2023/assets/125312170/c91765a3-feae-43f1-95ec-abc8ecbe6430
","Here is my repo

  
    
    

    ass5.mp4",2023-07-13T22:55:41Z,
D_kwDOJA-LVs4AUjBO,DC_kwDOJA-LVs4AYlWd,tahermatar,Assignments,"[repo](https://github.com/tahermatar/SliverKey-Technologies-Internship/tree/e4433273528dd1317bf3c164766fef043a3e2da2/FavouriteFeeds)
I made assignment number 5, but when I press the star button, the item does not appear on the next page in favorites


![11](https://github.com/silverkeytech/summer-2023/assets/93667774/2a97c5f0-5ae5-4d44-b113-60cdb3a3da2b)
![22](https://github.com/silverkeytech/summer-2023/assets/93667774/9091ab9a-ae38-4620-960e-d76f92be1edb)
![88](https://github.com/silverkeytech/summer-2023/assets/93667774/d8fce7b6-1fa9-4bbe-b0a0-405a52c70d26)
","repo
I made assignment number 5, but when I press the star button, the item does not appear on the next page in favorites",2023-07-14T00:37:36Z,2023-07-14T00:38:20Z
D_kwDOJA-LVs4AUk7f,,dodyg,Assignments,"- Create a single page using Razor Pages
- Create a form that takes username and password and a submit button. Make sure to validate it (all fields required)
- The login is successful if username is  ""intern"" and password is ""summer 2023 july""
- If user is logged in, show logout link on the screen and hide the login form. 
  - When you click on the logout link, the user will be logged out.
 
Deadline is July 13, 2023 ","Create a single page using Razor Pages
Create a form that takes username and password and a submit button. Make sure to validate it (all fields required)
The login is successful if username is  ""intern"" and password is ""summer 2023 july""
If user is logged in, show logout link on the screen and hide the login form.

When you click on the logout link, the user will be logged out.



Deadline is July 13, 2023",2023-07-12T07:51:18Z,
D_kwDOJA-LVs4AUk7f,DC_kwDOJA-LVs4AYgbV,dodyg,Assignments,"Study materials

- https://learn.microsoft.com/en-us/aspnet/core/security/authentication/cookie?view=aspnetcore-7.0
- https://github.com/dodyg/practical-aspnetcore/tree/net6.0/projects/.net7#authentication
","Study materials

https://learn.microsoft.com/en-us/aspnet/core/security/authentication/cookie?view=aspnetcore-7.0
https://github.com/dodyg/practical-aspnetcore/tree/net6.0/projects/.net7#authentication",2023-07-12T08:01:54Z,
D_kwDOJA-LVs4AUk7f,DC_kwDOJA-LVs4AYhS8,MillaniaSameh,Assignments,"[repo](https://github.com/MillaniaSameh/SliverKey-Technologies-Internship/tree/main/Assignment%206%20-%20Implement%20login%20with%20cookie%20based%20authentication/LoginWithAuth)

### Screenshots
![5](https://github.com/silverkeytech/summer-2023/assets/76593662/8e5a60b3-3d1f-4ec3-99fc-dac302d38831)
![6](https://github.com/silverkeytech/summer-2023/assets/76593662/ab2a5e57-79f3-49ab-8541-276e709544bd)
![7](https://github.com/silverkeytech/summer-2023/assets/76593662/dd439eff-751d-4efd-a529-fe183d2e9205)
![8](https://github.com/silverkeytech/summer-2023/assets/76593662/202c5233-2cc0-4a4d-96ee-0066fe4e8258)
![9](https://github.com/silverkeytech/summer-2023/assets/76593662/090d5f61-fe5f-4b14-822f-9b0ef1bcbb6d)
","repo
Screenshots",2023-07-12T14:05:16Z,
D_kwDOJA-LVs4AUk7f,DC_kwDOJA-LVs4AYhsx,yehiatarek63,Assignments,"[Repo Link](https://github.com/yehiatarek63/CookieAuthentication)
### Screenshots:
![image](https://github.com/silverkeytech/summer-2023/assets/94568731/7389b542-d49b-444a-9a7a-b409c6e1a2ec)
![image](https://github.com/silverkeytech/summer-2023/assets/94568731/ec713d8e-fa70-4ae9-b42c-094a672ad59a)
![image](https://github.com/silverkeytech/summer-2023/assets/94568731/3a82b9bf-ccc4-427d-89ac-520651529cc5)
","Repo Link
Screenshots:",2023-07-12T16:21:01Z,
D_kwDOJA-LVs4AUk7f,DC_kwDOJA-LVs4AYiAZ,salma-ahmed9,Assignments,"Here is the link to my [Repo](https://github.com/salma-ahmed9/CookieAuthentication.git)
### **Screenshots**
![sora](https://github.com/silverkeytech/summer-2023/assets/93517375/3e3fb5f3-9425-4445-96e8-0bd1e6d613c2)
### **Input validations (field is empty) **
![sora](https://github.com/silverkeytech/summer-2023/assets/93517375/8de942c7-20f8-434c-a110-c804751f761b)
### **Input validations (invalid username or password)**
![sora](https://github.com/silverkeytech/summer-2023/assets/93517375/6ec2c4c6-6be5-4386-af77-5e55c97835e9)
![sora](https://github.com/silverkeytech/summer-2023/assets/93517375/9b5a8b0d-4f12-4ecc-aa13-8fe0e09a6059)
### **Successful login**
![sora](https://github.com/silverkeytech/summer-2023/assets/93517375/f41497d8-2e2e-4ae9-ba8e-b3a7990958c9)
![sora](https://github.com/silverkeytech/summer-2023/assets/93517375/027884e4-aca7-4c1e-a203-fb5aab007b2a)
### **Logging out and redirecting to the form again**
![sora](https://github.com/silverkeytech/summer-2023/assets/93517375/0c7c050e-7dda-4e54-b25c-0188de61fdda)

","Here is the link to my Repo
Screenshots

**Input validations (field is empty) **

Input validations (invalid username or password)


Successful login


Logging out and redirecting to the form again",2023-07-12T19:01:23Z,
D_kwDOJA-LVs4AUk7f,DC_kwDOJA-LVs4AYi3K,YoussefDarwishh,Assignments,"[Repo](https://github.com/YoussefDarwishh/LogInCookieAuthentication)

![image](https://github.com/silverkeytech/summer-2023/assets/110547843/b89d979a-78c9-4736-a0da-430caf9ae66b)

![image](https://github.com/silverkeytech/summer-2023/assets/110547843/56e9247f-9911-4188-82da-00dfd096b9f8)

![image](https://github.com/silverkeytech/summer-2023/assets/110547843/5ff2e151-1599-4d9a-b50a-be1368440f72)
",Repo,2023-07-13T05:50:42Z,
D_kwDOJA-LVs4AUk7f,DC_kwDOJA-LVs4AYkkb,SandraHany,Assignments,"[Repo](https://github.com/SandraHany/Login-Cookie-Based-Authentication)

![AC1](https://github.com/silverkeytech/summer-2023/assets/67375539/b2fa1cfe-0a67-4a16-ac44-fa3fe8a5c033)

![AC2](https://github.com/silverkeytech/summer-2023/assets/67375539/13c25a83-ef9f-40ff-baf7-1d22a3a64049)

![AC4](https://github.com/silverkeytech/summer-2023/assets/67375539/ce142d5c-1233-4337-9b64-5e5b937fd69a)

![AC3](https://github.com/silverkeytech/summer-2023/assets/67375539/a423486b-1f47-4169-b7d6-6f553b082ac3)

",Repo,2023-07-13T16:24:39Z,2023-07-13T16:26:47Z
D_kwDOJA-LVs4AUk7f,DC_kwDOJA-LVs4AYko7,nourhanhelmy1,Assignments,"[Repo](https://github.com/nourhanhelmy1/LoginWithCookieAuth-Assignment6.git)

## Screenshots
<img width=""960"" alt=""Screenshot 2023-07-13 193752"" src=""https://github.com/silverkeytech/summer-2023/assets/117583711/b31ed787-2197-4240-b3b7-ee2af7f4d058"">

<img width=""960"" alt=""Screenshot 2023-07-13 193829"" src=""https://github.com/silverkeytech/summer-2023/assets/117583711/298515ca-2e39-43d6-a0a8-0dfce097d64d"">

<img width=""960"" alt=""Screenshot 2023-07-13 193918"" src=""https://github.com/silverkeytech/summer-2023/assets/117583711/8f3da585-1b5e-4852-a48d-6fa713b95382"">

<img width=""960"" alt=""Screenshot 2023-07-13 194037"" src=""https://github.com/silverkeytech/summer-2023/assets/117583711/9ca1344b-a278-48aa-a57e-71379184b028"">
","Repo
Screenshots",2023-07-13T16:57:16Z,
D_kwDOJA-LVs4AUk7f,DC_kwDOJA-LVs4AYnNR,Rofaydaaa,Assignments,"[Repo link](https://github.com/Rofaydaaa/cookie-based-authentication/tree/master)

https://github.com/silverkeytech/summer-2023/assets/125312170/47db55f4-d914-49fc-819a-7a269ac62242

","Repo link

  
    
    

    video1878489715.mp4",2023-07-14T17:37:43Z,
D_kwDOJA-LVs4AUk7f,DC_kwDOJA-LVs4AYnXl,yasmin-hashem24,Assignments,"- RepoLink : https://github.com/yasmin-hashem24/silverKey/tree/main/CookiesAuthentication
- Screenshots
![Screenshot (1001)](https://github.com/silverkeytech/summer-2023/assets/84807559/90dc4550-f824-413b-9426-67c573f42c36)
 
![Screenshot (1002)](https://github.com/silverkeytech/summer-2023/assets/84807559/94495b17-39a1-4fcb-83fd-dddfc7c97656)

![Screenshot (1003)](https://github.com/silverkeytech/summer-2023/assets/84807559/92284e57-0f09-45db-bfa6-33e46ba15d16)

- i get a bug tho , when i click logout sometimes i get an error and sometimes it redirects me to login form correctly
","RepoLink : https://github.com/yasmin-hashem24/silverKey/tree/main/CookiesAuthentication
Screenshots





i get a bug tho , when i click logout sometimes i get an error and sometimes it redirects me to login form correctly",2023-07-14T19:21:31Z,
